id	total_votes
2009.04849	13
2009.10085	13
2008.09571	13
2009.08743	13
2009.10740	13
2004.11643	13
2004.06113	13
2005.06325	13
2006.10055	13
2007.15633	13
2009.01844	13
2004.00627	13
2009.05558	13
2007.07289	13
2005.04805	13
2005.01739	13
2008.09780	13
2009.10092	12
2009.03286	12
2005.09661	12
2006.00008	12
2009.08483	12
2005.06122	12
2004.01448	12
2005.05341	12
2007.01845	12
2008.08486	12
2008.08591	12
2009.00020	12
2009.10733	12
2009.11307	12
2005.03030	12
2009.03936	12
2009.09754	12
2007.13751	12
2005.06551	12
2009.05557	12
2009.00616	12
2006.07011	12
2009.08224	12
2007.04325	12
2009.09220	12
2006.01326	12
2007.08472	12
2009.03083	12
2005.04234	12
2008.04660	12
2007.02943	12
2004.07256	12
2009.05077	12
2009.01251	12
2008.10743	12
2005.09666	12
2008.11210	12
2004.01470	11
2009.00622	11
2004.05049	11
2009.07859	11
2004.07844	11
2009.00663	11
2008.02212	11
2009.01858	11
2006.08061	11
2008.02280	11
2007.14398	11
2009.07295	11
2008.04915	11
2008.06089	11
2009.03912	11
2005.03665	11
2007.13394	11
2009.11309	11
2009.02177	11
2004.04702	11
2004.05179	11
2007.10340	11
2008.03603	11
2004.07504	11
2006.05461	11
2009.12112	11
2009.03886	11
2008.06514	11
2004.08482	11
2007.01877	11
2004.04165	11
2008.03320	11
2007.15026	11
2009.02328	11
2009.03953	11
2008.11205	11
2007.15358	11
2006.12431	11
2009.10077	11
2009.03916	11
2009.05047	11
2007.05735	11
2009.08979	11
2006.05383	10
2009.01852	10
2005.05328	10
2009.03324	10
2009.00628	10
2005.02397	10
2008.09124	10
2006.12506	10
2004.11378	10
2005.05348	10
2007.04988	10
2009.10735	10
2008.02817	10
2009.11289	10
2004.09530	10
2008.03477	10
2009.08470	10
2008.02806	10
2005.06472	10
2003.13480	10
2006.06623	10
2006.15914	10
2005.06484	10
2007.14402	10
2004.02761	10
2005.08583	10
2009.01935	10
2007.06529	10
2004.12981	10
2004.03305	10
2008.06055	10
2004.00610	10
2004.06399	10
2004.00678	10
2009.11043	10
2008.01084	10
