id	total_votes
2008.08588	2
1805.09349	2
2009.04731	2
2009.03307	2
2008.07549	2
2008.10823	2
2009.01310	2
2009.02329	2
2009.04256	2
2008.05991	2
2009.07695	2
2009.08312	2
1911.01271	2
2009.07809	2
2009.05268	2
2009.00036	2
2008.10213	2
2009.09493	2
2009.00676	2
2007.12697	2
2009.00723	2
2008.04311	2
2008.05863	2
2009.08914	2
2008.09967	2
2007.14688	2
2009.07316	2
2008.12633	2
2005.03431	2
2008.10735	2
2008.13195	2
2007.10374	2
2006.05383	2
2007.15522	2
2009.05073	2
2009.08857	2
2009.02919	2
2009.00877	2
2009.03861	2
2008.07919	2
2009.00525	2
2008.13647	2
1911.06925	2
2009.03084	2
2007.15358	2
2008.00452	2
2008.05001	2
2009.07306	2
2004.07844	2
2008.13660	2
2008.11863	2
2009.07820	2
2007.12178	2
2008.07050	2
1908.06050	2
2009.05362	2
2008.13411	2
2009.00018	2
2008.08773	2
2001.06491	2
2009.02309	2
2009.03219	2
2009.01352	2
2007.08496	2
2002.07829	2
2009.07854	2
2009.02629	2
2009.06662	2
2005.12290	2
2007.09010	2
2009.03577	2
2008.09832	2
2008.12418	2
2009.06658	2
2008.12200	2
2007.00176	2
2009.08068	2
2009.07686	1
2008.13614	1
2009.03337	1
2009.09954	1
2008.09443	1
2009.05414	1
2009.00643	1
2009.06997	1
1908.04210	1
2008.12240	1
2008.07538	1
2008.12752	1
2009.00977	1
2009.07939	1
2008.11734	1
2008.04181	1
2008.10056	1
2008.12607	1
2005.12287	1
2009.07488	1
2008.04932	1
2009.00132	1
2009.08461	1
2008.08607	1
0910.4261	1
2008.09972	1
2008.10659	1
2008.08374	1
2007.05982	1
2007.14114	1
2009.02521	1
2008.11157	1
2009.02567	1
2009.03624	1
2008.12798	1
2008.12273	1
2009.06850	1
2007.00679	1
2009.06972	1
2006.16149	1
1910.14347	1
2006.11019	1
2008.12780	1
2009.01909	1
2009.02596	1
2006.13612	1
2008.10200	1
2008.12779	1
2008.09147	1
2009.01472	1
2009.08994	1
2009.04302	1
2009.03071	1
2008.12531	1
2007.02961	1
2008.07442	1
2006.07383	1
2008.07546	1
2008.12329	1
2007.12319	1
2007.11283	1
2009.01189	1
2008.08863	1
2009.08881	1
2008.07406	1
1911.03155	1
2002.02102	1
2006.14703	1
2008.05841	1
2007.13791	1
2008.04919	1
2007.01320	1
2004.06731	1
2009.03872	1
2009.04030	1
2007.02883	1
2008.13299	1
1909.11107	1
2008.04313	1
2009.05987	1
2005.12507	1
2008.04258	1
2006.12584	1
2008.09133	1
2009.07296	1
2009.01945	1
2008.06057	1
2005.14454	1
2008.10091	1
1911.13090	1
2009.03343	1
2008.09639	1
2009.05590	1
2009.04001	1
2008.11208	1
1608.07581	1
2003.01123	1
2009.08788	1
1910.07345	1
2009.04784	1
2006.14607	1
2006.15853	1
2009.09242	1
2008.09928	1
2009.04565	1
2008.13520	1
2008.05941	1
2008.09917	1
1907.03445	1
2009.03041	1
2009.01149	1
2005.10436	1
2005.04233	1
2005.05991	1
2008.09136	1
2006.15150	1
2007.13752	1
2009.02330	1
2009.02223	1
2009.03267	1
2006.15018	1
2009.09085	1
2009.06695	1
2009.03862	1
2001.10952	1
2004.11619	1
2001.03178	1
2007.06745	1
2009.01641	1
2009.04691	1
2006.14573	1
2009.02347	1
2009.05981	1
2009.04633	1
2007.00739	1
2005.07716	1
2008.08949	1
2006.06623	1
2009.08307	1
2009.04483	1
2006.06836	1
2006.15456	1
2007.09160	1
2008.05663	1
2009.01400	1
2009.08154	1
2008.03351	1
2009.09145	1
2009.00293	1
2006.12526	1
2009.06495	1
2009.08306	1
2009.09611	1
2005.09653	1
2008.07849	1
2009.08619	1
2009.00005	1
2009.03770	1
2005.14677	1
2002.01489	1
2007.12170	1
2008.08395	1
2009.07718	1
2009.03320	1
2008.02426	1
2009.01539	1
2006.16264	1
1910.04255	1
2007.03783	1
2008.11681	1
2008.05490	1
2008.10572	1
2008.11184	1
2004.06124	1
2006.08622	1
2009.01669	1
1911.12958	1
1908.09989	1
2009.05640	1
2009.01104	1
2009.02173	1
2009.02724	1
2007.00386	1
2009.08979	1
2008.12351	1
2006.04995	1
2009.06843	1
2009.01566	1
2009.06608	1
2007.14993	1
2008.13112	1
2006.10065	1
2008.09338	1
2008.05479	1
2009.08974	1
2008.08527	1
2008.04901	1
2006.08088	1
2009.02937	1
2009.07746	1
2007.04007	1
2008.07601	1
2008.11728	1
2009.07146	1
2008.08519	1
2009.00060	1
2009.03322	1
2009.03583	1
2007.00356	1
2009.00263	1
2006.14650	1
2009.05302	1
2008.02192	1
2009.01903	1
2008.10799	1
2008.05324	1
2006.10809	1
2009.00575	1
2006.14632	1
2008.06421	1
2006.10040	1
2009.06269	1
2008.06089	1
2008.12304	1
2009.09098	1
2006.06298	1
2009.04261	1
2005.07215	1
2009.08773	1
2008.04913	1
2008.08085	1
1508.05655	1
2004.10986	1
1911.11785	1
2009.03925	1
2009.04049	1
2007.03122	1
2008.12306	1
2008.12208	1
2009.07711	1
2008.06299	1
2006.01783	1
2009.06656	1
2009.10059	1
2009.02123	1
2007.04786	1
2008.11320	1
2007.11299	1
2008.02805	1
2008.02841	1
2007.08149	1
2006.14122	1
1805.10291	1
2009.08051	1
2009.08396	1
2002.02968	1
2007.04656	1
2006.16342	1
1205.5235	1
2008.08877	1
2008.04369	1
2004.04833	1
2003.00615	1
2002.00907	1
2006.12501	1
1702.02601	1
2009.07860	1
2009.09243	1
2008.01816	1
