order	id	date
-99	1701.04973	17 January 2017
-99	1701.04994	17 January 2017
-99	1701.04997	17 January 2017
-99	1701.05018	17 January 2017
-99	1701.05019	17 January 2017
-99	1701.05028	17 January 2017
-99	1701.05040	17 January 2017
-99	1701.05042	17 January 2017
-99	1701.05046	17 January 2017
-99	1701.05048	17 January 2017
-99	1701.05060	17 January 2017
-99	1701.05101	17 January 2017
-99	1701.05122	17 January 2017
-99	1701.05158	17 January 2017
-99	1701.05178	17 January 2017
-99	1701.05188	17 January 2017
-99	1701.05189	17 January 2017
-99	1701.05190	17 January 2017
-99	1701.05191	17 January 2017
-99	1701.05192	17 January 2017
-99	1701.05193	17 January 2017
-99	1701.05196	17 January 2017
-99	1701.05197	17 January 2017
-99	1701.05198	17 January 2017
-99	1701.05201	17 January 2017
-99	1701.05203	17 January 2017
-99	1701.05205	17 January 2017
-99	1701.05207	17 January 2017
-99	1701.05211	17 January 2017
-99	1701.05213	17 January 2017
-99	1701.05218	17 January 2017
-99	1701.05222	17 January 2017
-99	1701.05231	17 January 2017
-99	1701.05240	17 January 2017
-99	1701.05245	17 January 2017
-99	1701.05250	17 January 2017
-99	1701.05252	17 January 2017
-99	1701.05269	17 January 2017
-99	1701.05281	17 January 2017
-99	1701.05283	17 January 2017
-99	1701.05293	17 January 2017
-99	1701.05300	17 January 2017
-99	1701.05316	17 January 2017
-99	1701.05337	17 January 2017
-99	1701.05350	17 January 2017
-99	1701.05361	17 January 2017
-99	1701.05370	17 January 2017
-99	1701.05386	17 January 2017
-99	1701.05391	17 January 2017
-99	1701.05407	17 January 2017
-99	1701.05409	17 January 2017
-99	1701.05435	17 January 2017
-99	1701.05459	17 January 2017
-99	1701.05460	17 January 2017
-99	1701.05481	17 January 2017
-99	1701.05482	17 January 2017
-99	1701.05496	17 January 2017
-99	1701.05506	17 January 2017
-99	1701.05541	17 January 2017
-99	1701.05548	17 January 2017
-99	1701.05554	17 January 2017
-99	1701.05558	17 January 2017
-99	1701.05560	17 January 2017
-99	1701.05561	17 January 2017
-99	1701.05563	17 January 2017
-99	1701.05564	17 January 2017
-99	1701.05566	17 January 2017
-99	1701.05571	17 January 2017
-99	1701.05585	17 January 2017
-99	1701.05589	17 January 2017
-99	1701.05594	17 January 2017
-99	1701.05604	17 January 2017
-99	1701.05610	17 January 2017
-99	1701.05612	17 January 2017
-99	1701.05615	17 January 2017
-99	1701.05624	17 January 2017
-99	1701.05626	17 January 2017
-99	1701.05641	17 January 2017
-99	1701.05646	17 January 2017
-99	1701.05664	17 January 2017
-99	1701.05675	17 January 2017
-99	1701.05683	17 January 2017
-99	1701.05689	17 January 2017
-99	1701.05690	17 January 2017
-99	1701.05698	17 January 2017
-99	1701.05702	17 January 2017
-99	1701.05719	17 January 2017
-99	1701.05720	17 January 2017
-99	1701.05722	17 January 2017
-99	1701.05735	17 January 2017
-99	1701.05737	17 January 2017
-99	1701.05752	17 January 2017
-99	1701.05758	17 January 2017
-99	1701.05765	17 January 2017
-99	1701.05774	17 January 2017
-99	1701.05782	17 January 2017
-99	1701.05786	17 January 2017
-99	1701.05812	17 January 2017
-99	1701.05815	17 January 2017
-99	1701.05822	17 January 2017
-99	1701.05837	17 January 2017
-99	1701.05846	17 January 2017
-99	1701.05849	17 January 2017
-99	1701.05852	17 January 2017
-99	1701.05856	17 January 2017
-99	1701.05865	17 January 2017
-99	1701.05873	17 January 2017
-99	1701.05875	17 January 2017
-99	1701.05877	17 January 2017
-99	1701.05884	17 January 2017
-99	1701.05898	17 January 2017
-99	1701.05901	17 January 2017
-99	1701.05902	17 January 2017
-99	1701.05903	17 January 2017
-99	1701.05904	17 January 2017
-99	1701.05910	17 January 2017
-99	1701.05912	17 January 2017
-99	1701.05917	17 January 2017
-99	1701.05925	17 January 2017
-99	1701.05933	17 January 2017
-99	1701.05939	17 January 2017
-99	1701.05942	17 January 2017
-99	1701.05953	17 January 2017
-99	1701.05962	17 January 2017
-99	1701.05963	17 January 2017
-99	1701.06019	17 January 2017
-99	1701.06048	17 January 2017
-99	1701.06058	17 January 2017
-99	1701.06059	17 January 2017
-99	1701.06066	17 January 2017
-99	1701.06067	17 January 2017
-99	1701.06102	17 January 2017
-99	1701.06115	17 January 2017
-99	1701.06128	17 January 2017
-99	1701.06132	17 January 2017
-99	1701.06138	17 January 2017
-99	1701.06143	17 January 2017
-99	1701.06149	17 January 2017
-99	1701.06160	17 January 2017
-99	1701.06165	17 January 2017
-99	1701.06168	17 January 2017
-99	1701.06172	17 January 2017
-99	1701.06173	17 January 2017
-99	1701.06180	17 January 2017
-99	1701.06227	17 January 2017
-99	1701.06242	17 January 2017
-99	1701.06255	17 January 2017
-99	1701.06286	17 January 2017
-99	1701.06298	17 January 2017
-99	1701.06361	17 January 2017
-99	1701.06363	17 January 2017
-99	1701.06374	17 January 2017
-99	1701.06376	17 January 2017
-99	1701.06397	17 January 2017
-99	1701.06409	17 January 2017
-99	1701.06417	17 January 2017
-99	1701.06440	17 January 2017
-99	1701.06453	17 January 2017
-99	1701.06457	17 January 2017
-99	1701.06465	17 January 2017
-99	1701.06473	17 January 2017
-99	1701.06483	17 January 2017
-99	1701.06492	17 January 2017
-99	1701.06520	17 January 2017
-99	1701.06531	17 January 2017
-99	1701.06557	17 January 2017
-99	1701.06559	17 January 2017
-99	1701.06563	17 January 2017
-99	1701.06565	17 January 2017
-99	1701.06568	17 January 2017
-99	1701.06569	17 January 2017
-99	1701.06570	17 January 2017
-99	1701.06571	17 January 2017
-99	1701.06575	17 January 2017
-99	1701.06577	17 January 2017
-99	1701.06580	17 January 2017
-99	1701.06581	17 January 2017
-99	1701.06585	17 January 2017
-99	1701.06591	17 January 2017
-99	1701.06603	17 January 2017
-99	1701.06604	17 January 2017
-99	1701.06617	17 January 2017
-99	1701.06622	17 January 2017
-99	1701.06627	17 January 2017
-99	1701.06634	17 January 2017
-99	1701.06653	17 January 2017
-99	1701.06666	17 January 2017
-99	1701.06701	17 January 2017
-99	1701.06703	17 January 2017
-99	1701.06704	23 January 2017
-99	1701.06706	23 January 2017
-99	1701.06721	23 January 2017
-99	1701.06740	23 January 2017
-99	1701.06742	23 January 2017
-99	1701.06747	23 January 2017
-99	1701.06755	23 January 2017
-99	1701.06758	23 January 2017
-99	1701.06759	23 January 2017
-99	1701.06765	23 January 2017
-99	1701.06774	23 January 2017
-99	1701.06777	23 January 2017
-99	1701.06780	23 January 2017
-99	1701.06786	23 January 2017
-99	1701.06791	23 January 2017
-99	1701.06792	23 January 2017
-99	1701.06795	23 January 2017
-99	1701.06797	23 January 2017
-99	1701.06802	23 January 2017
-99	1701.06804	23 January 2017
-99	1701.06808	23 January 2017
-99	1701.06809	23 January 2017
-99	1701.06812	23 January 2017
-99	1701.06826	23 January 2017
-99	1701.06827	23 January 2017
-99	1701.06835	23 January 2017
-99	1701.06841	23 January 2017
-99	1701.06870	23 January 2017
-99	1701.06903	23 January 2017
-99	1701.06915	23 January 2017
-99	1701.06928	23 January 2017
-99	1701.06945	23 January 2017
-99	1701.06948	23 January 2017
-99	1701.06950	23 January 2017
-99	1701.06958	23 January 2017
-99	1701.06978	23 January 2017
-99	1701.06988	23 January 2017
-99	1701.06992	23 January 2017
-99	1701.06995	23 January 2017
-99	1701.07001	23 January 2017
-99	1701.07002	23 January 2017
-99	1701.07005	23 January 2017
-99	1701.07006	23 January 2017
-99	1701.07012	23 January 2017
-99	1701.07015	23 January 2017
-99	1701.07019	23 January 2017
-99	1701.07025	23 January 2017
-99	1701.07026	23 January 2017
-99	1701.07027	23 January 2017
-99	1701.07028	23 January 2017
-99	1701.07029	23 January 2017
-99	1701.07030	23 January 2017
-99	1701.07031	23 January 2017
-99	1701.07032	23 January 2017
-99	1701.07033	23 January 2017
-99	1701.07034	23 January 2017
-99	1701.07036	23 January 2017
-99	1701.07037	23 January 2017
-99	1701.07038	23 January 2017
-99	1701.07039	23 January 2017
-99	1701.07041	23 January 2017
-99	1701.07054	23 January 2017
-99	1701.07057	23 January 2017
-99	1701.07062	23 January 2017
-99	1701.07069	23 January 2017
-99	1701.07073	23 January 2017
-99	1701.07091	23 January 2017
-99	1701.07108	23 January 2017
-99	1701.07113	23 January 2017
-99	1701.07129	23 January 2017
-99	1701.07136	23 January 2017
-99	1701.07142	23 January 2017
-99	1701.07144	23 January 2017
-99	1701.07150	23 January 2017
-99	1701.07160	23 January 2017
-99	1701.07165	23 January 2017
-99	1701.07200	23 January 2017
-99	1701.07223	23 January 2017
-99	1701.07225	23 January 2017
-99	1701.07239	23 January 2017
-99	1701.07244	23 January 2017
-99	1701.07250	23 January 2017
-99	1701.07257	23 January 2017
-99	1701.07265	23 January 2017
-99	1701.07267	23 January 2017
-99	1701.07271	23 January 2017
-99	1701.07273	23 January 2017
-99	1701.07277	23 January 2017
-99	1701.07284	23 January 2017
-99	1701.07285	23 January 2017
-99	1701.07287	23 January 2017
-99	1701.07288	23 January 2017
-99	1701.07289	23 January 2017
-99	1701.07293	23 January 2017
-99	1701.07298	23 January 2017
-99	1701.07302	23 January 2017
-99	1701.07305	23 January 2017
